,name,z,log_bh,log_lbol,log_edd_ratio,m_app_bol,m_app_lim,M_bol,M_abs_lim,dist,L_L
10297,SDSS J160653.14+293813.8,3.007,9.418,46.356,-1.162,19.874802589391738,22.519652611071837,-27.1448500216801,-25.319902982995522,25347.23096827295,0.6385424976727664
10298,SDSS J160655.27+140729.9,3.212,8.347000000000001,46.45,0.003,19.81140994118977,22.691259962869868,-27.3798500216801,-25.491510334793553,27431.65389014849,0.6388077397059282
10299,SDSS J160658.35+092327.9,3.293,8.642999999999999,46.489,-0.254,19.778578863697636,22.755928885377724,-27.47735002168009,-25.55617925730141,28260.886253226145,0.6389034426076726
10300,SDSS J160659.50+181136.2,3.029,8.911,46.429,-0.5820000000000001,19.711296028616268,22.538646050296364,-27.327350021680097,-25.33889642222005,25569.91062665639,0.6385726819514839
10301,SDSS J160702.79+190959.3,3.3280000000000003,8.566,46.489,-0.177,19.806008877382443,22.78335889906253,-27.47735002168009,-25.583609270986216,28620.14171093789,0.6389433546494032
10302,SDSS J160703.39+581110.9,3.253,8.176,46.179,-0.0969999999999999,20.521854196332818,22.724204218012915,-26.702350021680097,-25.5244545899366,27851.00322672942,0.6388567774367
10303,SDSS J160706.25+070020.9,3.193,8.644,46.457,-0.287,19.77849359762819,22.67584361930828,-27.39735002168009,-25.476093991231966,27237.59285890785,0.6387845879835452
10304,SDSS J160716.07+200955.2,3.138,8.523,46.288,-0.335,20.155820428522716,22.6306704502028,-26.974850021680084,-25.430920822126485,26676.821942049577,0.6387159898204449
10305,SDSS J160718.28+161445.4,3.2030000000000003,9.365,46.307,-1.158,20.16161938969288,22.683969411372978,-27.022350021680097,-25.484219783296663,27339.708659259595,0.6387968073307897
10306,SDSS J160719.08+325649.0,3.161,8.887,46.399,-0.588,19.897311008595796,22.64966103027589,-27.252350021680094,-25.449911402199575,26911.146845644995,0.6387449666567864
10307,SDSS J160726.72+350019.3,3.102,8.728,46.315,-0.513,20.05830179213401,22.600651813814096,-27.042350021680086,-25.40090218573778,26310.5764150998,0.638669772341644
10308,SDSS J160731.61+195710.4,3.301,8.686,46.277,-0.509,20.314875391273702,22.762225412953796,-26.947350021680094,-25.56247578487748,28342.952085083714,0.6389126399610748
